Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario81_min128_mx8_res30_q5_ord1;T4;128;15000;30;1;0.99;0.66;0.38
cenario82_min128_mx8_res30_q5_ord2;T4;128;15000;30;2;0.98;0.71;0.36
cenario83_min128_mx8_res30_q10_ord1;T4;128;15000;30;1;0.98;0.66;0.5
cenario84_min128_mx8_res30_q10_ord2;T4;128;15000;30;2;0.97;0.71;0.51
cenario85_min128_mx8_res50_q5_ord1;T4;128;15000;50;1;0.99;0.66;0.38
cenario86_min128_mx8_res50_q5_ord2;T4;128;15000;50;2;0.98;0.71;0.37
cenario87_min128_mx8_res50_q10_ord1;T4;128;15000;50;1;0.98;0.66;0.5
cenario88_min128_mx8_res50_q10_ord2;T4;128;15000;50;2;0.98;0.71;0.5
cenario89_min128_mx10_res30_q5_ord1;T4;128;12000;30;1;0.98;0.66;0.34
cenario90_min128_mx10_res30_q5_ord2;T4;128;12000;30;2;0.98;0.71;0.35
cenario91_min128_mx10_res30_q10_ord1;T4;128;12000;30;1;0.98;0.66;0.46
cenario92_min128_mx10_res30_q10_ord2;T4;128;12000;30;2;0.97;0.71;0.48
cenario93_min128_mx10_res50_q5_ord1;T4;128;12000;50;1;0.99;0.67;0.37
cenario94_min128_mx10_res50_q5_ord2;T4;128;12000;50;2;0.98;0.72;0.35
cenario95_min128_mx10_res50_q10_ord1;T4;128;12000;50;1;0.98;0.67;0.51
cenario96_min128_mx10_res50_q10_ord2;T4;128;12000;50;2;0.98;0.72;0.5
