Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario09_min16_mx8_res30_q5_ord1;P3;2.0;1.0152288492420745;1.030457698484149;0.8511253035031978;0.6717929085222467;0.9700144977995936
cenario09_min16_mx8_res30_q5_ord1;P3;2.5;0.9706577225251171;1.4266443063127925;0.7660686578783333;0.48852733838304085;0.9634713894231991
cenario09_min16_mx8_res30_q5_ord1;P3;3.0;0.9321754521208274;1.7965263563624823;0.7278604490780367;0.38705499087162787;0.9578797283395659
cenario09_min16_mx8_res30_q5_ord1;P3;3.5;0.9012870729688083;2.154504755390829;0.7089770120172099;0.32691478666940554;0.9530134774281993
cenario09_min16_mx8_res30_q5_ord1;P3;4.0;0.876375842094923;2.505503368379692;0.697155811509004;0.28311987765632374;0.9487081392897774
cenario09_min16_mx8_res30_q5_ord1;P3;4.5;0.8559245704221852;2.851660566899833;0.6887589245491919;0.24775459357153018;0.9448669590209293
cenario09_min16_mx8_res30_q5_ord1;P3;5.0;0.8388524585857768;3.194262292928884;0.6852034520581016;0.23175496736162415;0.941423735429918
cenario10_min16_mx8_res30_q5_ord2;P3;-5.0;1.605326987250143;-9.026634936250716;1.8485747709722062;-0.21623891861031552;0.8496349273850043
cenario10_min16_mx8_res30_q5_ord2;P3;-4.5;1.5782994557254695;-8.102347550764613;1.8434649407822068;-0.19324468275531714;0.8487674853388771
cenario10_min16_mx8_res30_q5_ord2;P3;-4.0;1.5457924988671272;-7.183169995468509;1.8298348670619493;-0.13616947277928837;0.8484939313193982
cenario10_min16_mx8_res30_q5_ord2;P3;-3.5;1.5064321953436182;-6.272512683702663;1.8071768060907036;-0.052606137614799486;0.84940889837799
cenario10_min16_mx8_res30_q5_ord2;P3;-3.0;1.4586643964592683;-5.375993189377805;1.7690713315344482;0.0687791947744607;0.852509053498208
cenario10_min16_mx8_res30_q5_ord2;P3;-2.5;1.4013765408672862;-4.503441352168215;1.703254516321958;0.24530506136331987;0.8592619081535426
